Name,LogT1/2,Label
DB00655,1.278753601,0
DB00569,1.278753601,0
DB05266,1.278753601,0
DB00153,1.278753601,0
CID65954,1.278753601,0
CID25166913,1.276461804,0
CID86278352,1.271841607,0
DB06274,1.267171728,0
DB00694,1.267171728,0
DB06705,1.267171728,0
DB01433,1.267171728,0
CID216468,1.260071388,0
DB01142,1.255272505,0
DB00195,1.255272505,0
DB00814,1.255272505,0
DB00636,1.255272505,0
DB00808,1.255272505,0
DB00431,1.255272505,0
DB00617,1.255272505,0
DB08906,1.255272505,0
DB04946,1.255272505,0
DB08815,1.255272505,0
DB00619,1.255272505,0
DB00647,1.255272505,0
DB00349,1.255272505,0
DB00564,1.255272505,0
DB00188,1.255272505,0
DB06287,1.255272505,0
DB00834,1.255272505,0
DB00799,1.255272505,0
DB01459,1.255272505,0
CID443324,1.255272505,0
CID10161381,1.255272505,0
CID6918454,1.255272505,0
CID54697325,1.255272505,0
CID134771,1.252853031,0
CID2736461,1.252853031,0
